years_ago;desc
430,000;"Denisovans diverge from Neanderthals (southern Siberia) ? Tibetan Plateau and Laos by 160,000 years ago; subsequent interbreeding, possibly also with Homo erectus"
400,000;multiple hominin dispersals across Arabia (Nefud Desert), during windows of desert greening at four-, three-, two- and one-hundred thousand years ago
400,000;earliest evidence of food storage for later consumption: bone marrow (Qesem Cave, Israel) ? food economy, incentivised by anticipation of future need
320,000;long-distance transport of obsidian for fine blades and points, and ochre for pigments (Kenya) ? technological transition to Middle Stone Age during intensifying climate swings
315,000;earliest representatives of our species, Homo sapiens (Jebel Irhoud, Morocco): facial and dental structure similar to modern humans, yet still archaic elongation of the braincase
300,000;wooden spears and lances used by Homo heidelbergensis for hunting large herbivores (Schöningen, Germany)
250,000;replacement of Homo heidelbergensis by Homo neanderthalensis in Europe, and by Homo sapiens in Africa over the subsequent 100,000 years
210,000;Homo sapiens enter Eurasia (Greece): first of multiple dispersals out of Africa by humans with early modern traits, including globular braincase and descended larynx facilitating spoken language
200,000;earliest adhesive: birch tar used by Neanderthals for hafting stone tools (Campitello, Italy) ? pyrotechnology
176,000;earliest built constructions: underground edifices made from broken stalagmites by Neanderthals (Bruniquel Cave, France) ? material culture
171,000;earliest record of fire technology, by Neanderthals: boxwood digging sticks with shafts worked smooth by controlled burning (Poggetti Vecchi, Italy)
170,000;widespread use of clothing, setting humans apart from all other animals, evidenced in the divergence of clothing lice from head lice (Africa)
160,000;coastal shellfish harvested by Homo sapiens in southern Africa, and by Neanderthals in the Mediterranean ? fatty acids boosting cognitive development
142,000;"earliest symbolic ornaments: marine-shell beads made by humans in Morocco, spreading to the Levant; painted beads by Neanderthals in Spain by 115,000 years ago"
126,000;"Homo with mix of archaic-human and Neanderthal traits (Nesher Ramla, Israel): stone-tool industry, cooking meat; cultural exchange with humans?"
125,000;prelude to Earth’s Last Glacial Period: global average temperature never again as high until CE 2021, during intensifying anthropogenic warming
120,000;burial of dead, by anatomically modern humans in Qafzeh Cave, Israel, and by Neanderthals in Tabun Cave, Israel: mortuary rituals, mourning the dead
110,000;last appearance of Homo erectus (Ngandong, Java), 1.89 million years after its first appearance ? the longest enduring species of human
105,000;hording of non-utilitarian objects by Homo sapiens: crystals and ostrich eggshell fragments (Kalahari, southern Africa)
100,000;interbreeding of Homo sapiens with Homo neanderthalensis (Siberia) ? accumulation of modern traits through gene flow
100,000;toolkit for mixing and storing pigments: ochre, charcoal, bone, hammerstones, grindstones and abalone-shell containers (Blombos Cave, South Africa) ? complex human cognition
100,000;earliest human etchings on rock: cross-hash decorations or symbols (Blombos Cave, South Africa) ? conceptual imagination
90,000;manufacture of bone harpoons, for hunting catfish (Semliki river, DR Congo)
90,000;"fisher-hunter-gatherer Neanderthals eating mussels, crab, eels, sea bream and shark, dolphins and seals, hoofed game and waterfowl; pine-nut economy (Figueira Brava, Portugal)"
78,000;earliest symbolic human burial, a 3-year old Homo sapiens (Panga ya Saidi Cave, Kenya): funerary practices by our ancestors
77,000;construction of bedding from sedges, topped with aromatic leaves containing insecticidal and larvicidal chemicals (Sibudu rock shelter, South Africa)
75,000;earliest jewellery fashions: shifts in styles of threaded shell beads (Blombos Cave, South Africa)
73,000;earliest drawing by humans: criss-crossed lines on a grindstone drawn with red-ochre crayon (Blombos Cave, South Africa)
71,000;earliest heat-treatment of bladelets, for atlatl darts or arrows (South Africa): communication of complex technology ? emergence of the modern mind
65,000;"rapid colonisation of Australia by humans during 5,000 years (ancient Sahul): maritime exploration; transecting the continent along superhighways"
64,800;earliest symbolic cave paintings by Neanderthals (La Pasiega Cave, Spain)?
60,000;earliest notation, with notched-bone tally marks by Neanderthals (Les Pradelles, France) ? uniquely human number culture and record keeping
60,000;symbolic burial of dead by Neanderthals (La Chapelle-aux-Saints, France): funerary practices
60,000;range expansion of modern humans out of Africa into Eurasia, beginning 60,000 years ago and enduring 10,000 years
54,000;modern humans, Homo sapiens, settling briefly in western Europe (Grotte Mandrin, France)? – preceded by and preceding Neanderthal settlements
51,000;a giant deer’s phalanx bone becomes a Neanderthal artist’s canvas, prepared by scraping and boiling before etching (Harz Mountains, Germany)
50,000;earliest use of cord: three-plied bark fibres (Abri du Maras, France) ? clothing, mats, baskets, nets, rope, snares, fishing lines, watercraft
50,000;earliest eyed needle, made from bone by Denisovans (Denisova Cave, Siberia), suitable for tailoring garments
50,000;Neanderthal fire-lighting technology (France): striking flint axes with mineral pyrite ? wood the predominant fuel for cooking and heating until the CE 19?? century
50,000;Eurasian Homo sapiens co-existing with Homo floresiensis (soon extinct) and Homo luzonensis, interbreeding with Neanderthals and Denisovans
48,000;self-medication by Neanderthals, with pain-killing salicylic acid in poplar leaves, and antibiotic-producing Penicillium mould (El Sidrón, Spain)
46,000;anatomically modern humans, Homo sapiens, established in Europe (Bacho Kiro, Bulgaria), mating with Neanderthals, spreading eastwards.
45,500;earliest representational art, a red-ochre composition of Sulawesi warty pigs (Leang Tedongnge, Sulawesi): narrative stories
45,000;extinction of giant flightless mihirung thunder birds, hastened by human exploitation of their eggs (Australia)
44,000;earliest figurative painting (Sulawesi Island, Indonesia), of therianthropes hunting anoa and pigs: mythological stories
42,000;"earliest musical instruments: bone and ivory flutes (Swabian Jura, Germany) ? stirring the emotions with harmony, melody, rhythm, timbre; no human society without music"
42,000;earliest record of fish-hooks, manufactured from broken shell (East Timor): deep-sea fishing for pelagic tuna and parrotfish, sharks and marine turtles
41,500;most recent reversal of Earth’s magnetic poles, lasting 500 years, decreasing stratospheric ozone, driving global climate shifts and extinction events
40,000;anatomically modern humans replace Neanderthals, our last remaining sibling species
40,000;earliest habitual use of solid footwear (Sunghir, Russia), opening permafrost regions to occupancy ? hay socks by 5,000 years ago
40,000;full development of language, facilitating efficient social bonding through gossip ? now over 7,000 living languages, over 2,000 vanishing
40,000;earliest figurative sculpture: an ivory figurine of a therianthrope with lion’s head and human torso (Hohlenstein, Germany)
40,000;earliest image of human form: a hand stencil (Maros karsts, Sulawesi)
37,000;earliest artistic representation of human form: engravings of vulvas (Abri Castanet, France): fertility symbol?
35,000;earliest animation in cave art (Grotte Chauvet-Pont d’Arc, France): breaking down animal movement, prefiguring cinema
35,000;earliest fully human sculpture and female imagery: a mammoth-ivory ‘Venus’ figurine (Hohle Fels, Germany): fertility totem?
35,000;a giant virus freezes into Siberian permafrost, melting back to virulent activity 35,000 years later
32,600;"food-plant processing, of dried wild oats with grindstones (Grotta Paglicci, Italy; soon appearing across Europe, Australia) ? flour for storage and cooking"
32,000;fruits of the campion Silene stenophylla freeze in Siberian tundra, regenerating from cryobiosis 32,000 years later into fertile plants
32,000;possible first human incursions into the Americas (Mexico), certainly within the next 11,000 years (New Mexico), migrating along the coast from Siberia?
31,000;"earliest surgical amputation, of a child’s lower leg (Borneo); subsequent survival for 6 to 9 years, then burial"
30,000;earliest woven fabrics, made from dyed fibres of wild flax (Georgia) ? baskets, textile clothing
29,500;earliest stone statuette: ochre-tinted oolitic limestone Venus of Willendorf (Austria)
29,000;earliest fishing-net sinkers (South Korea) ? modern industrial fishing currently in 55% of ocean area, covering 4× agricultural area
25,000;a coronavirus epidemic sweeps through East Asia, driving genetic adaptations still present in modern humans
24,000;use of poison arrows, with wooden ricin applicator (Lebombo mountains, South Africa)
24,000;a bdelloid rotifer freezes into ice in the Alayeza river (Russian Arctic), reviving 24,000 years later to full vigour
23,000;fisher-hunter-gatherer brush huts (Sea of Galilee, Israel): sealed floor, hearth, berry and seed stockpiles, grindstones, sleeping area with grass bedding
23,000;first domestication: dogs from grey wolves Canis lupus (Siberia or Japan), for companionship, hunting technology, and pulling sledges ? 700 million dogs by CE 21?? century
20,000;earliest pottery vessels (Xianrendong Cave, China): cooking food in pots during the Last Glacial Maximum
20,000;"beginning of sea-level rise from deglaciation in a warming global climate; stabilising at today’s 120-m higher levels by c. 10,000 years ago"
19,000;replacement of early modern humans across Eurasia by the ancestors of today’s populations
15,000;introgression of last remaining Denisovans into the modern human genome? Anatomically modern humans henceforth the only hominin
15,000;colonisation and occupation of North America by humans, from northeastern Siberia over the Bering land bridge, bringing their dogs
15,000;"colonisation of South America (Huaca Prieta, Coastal Peru); humans henceforth occupying every continental landmass on Earth, except Antarctica"
15,000;semi-permanent forager settlements of Natufians (Levant), evidenced by presence of house mice
15,000;earliest record of a string instrument: the musical bow (cave painting at Trois Frères, France) ? music initiated outside the body
15,000;earliest thaumatrope (Laugerie-Basse, France): an optical toy, creating movement by juxtaposition of images
14,400;"evidence of baking bread: unleavened flatbread from wild einkorn and club-rush tubers (Shubayqa, Jordan); caries from consumption of starchy foods"
14,000;earliest lime plaster, used as an adhesive for hafting (Kebaran, Levant) ? mortar by 3,000 years ago
13,400;earliest evidence of inter-communal violence on a large scale, with projectile impacts and blunt-force trauma (Jebel Sahaba, northern Sudan): warfare and conflict driving human misery
12,800;climate shift contributing to megafaunal extinctions and human cultural changes (Younger Dryas): triggered by a comet airburst over North America and Europe?
12,300;earliest evidence of humans using tobacco (West Desert, North America)
12,000;extinction of megafauna including woolly mammoths from continental Eurasia and North America, caused by human hunting and climate change
11,700;start of the Holocene Epoch within the Quaternary Period, characterised by warm and stable climate until the late CE 20?? century
11,700;in the Mojave desert a seed germinates and grows into a deadly creosote bush, which segments to sprout new stems, sprouting and segmenting for 11,700 years
11,600;earliest monumental ritual art (Shigir, Siberia): 5-m tall larchwood plank carved with human forms and signs ? complex ideas expressed by hunter-gatherers
11,500;"cultivation of wild barley and oats around village settlements (Fertile Crescent) ? dawn of farming on the Anatolian peninsula; storable grains sustaining population growth"
11,500;"earliest monumental temple (Göbekli Tepe, Anatolia): carved stone stelae up to 4-m tall serving ritualistic purposes; associated skull cult; ceremonial porridge and beer"
11,500;earliest use of brick architecture: sun-dried mudbricks (Anatolia and the Levant, spreading to Mesopotamia) ? fired bricks by 3000 BCE (China)
11,000;earliest continuous settlements (southern Levant), including Jericho: stone and mudbrick architecture developing into a walled city of up to 3,000 people ? modern cities of 30 million people
11,000;earliest artistic representation of human sexual intercourse: 10-cm phallic sculpture of sensual and tender intimacy (Ain Sakhri, Levant)
10,400;domestication of goats and sheep (Fertile Crescent and Turkey) ? milk, meat, wool, hide and capital from 1.2 billion sheep and 1.1 billion goats by CE 2019, rising trend
10,100;"global population of humans passes 5 million; annual energy use per person averages 1,700 kWh, 2.4× the resting metabolism"
10,000;continental ice-sheets withdraw from Europe and North America
10,000;domestication of cattle, from aurochs (Near East and Indus Valley) ? haulage, milk, meat, hide and capital from 1.5 billion head of cattle by CE 2019, rising trend
10,000;domestication of cats, from Near Eastern wildcats Felis silvestris lybica (Middle East) ? 400 million domestic cats by CE 20?? century, a substantial threat to wildlife
10,000;domestication of wheat (Mesopotamia): hybrid vigour efficiently converting solar energy into food energy ? 772 million tonnes per year by CE 2017, using 218 million ha of land: peak production?
10,000;domestication of the bottle gourd Lagenaria siceraria, indigenous to Africa, in the Americas from Asian stock: global diffusion for containers, musical instruments, fishing floats
10,000;earliest record of artistic expression through dance, as rite of passage (engravings in Addaura II Cave, Sicily): rhythms that elevate the spirit ? collective desire for cosmic order
9,500;domestication of chickens from red junglefowl (Southeast Asia) ? meat and eggs from 25.9 billion chickens by CE 2019 and rising, 5× the biomass of all wild birds
9,200;earliest large-scale representations of complete human forms: lime plaster statues 1-m tall (Ain Ghazal, Jordan)
9,000;big-game hunting practised by females and males (Wilamaya Patjxa, Andean highlands) ? strong male bias across recent hunter-gatherer societies
9,000;"domestication of the potato (Andes, southern Peru) ? 370 million tonnes per year by CE 2019, using 17 million ha of land; a food-security crop worldwide, not a globally traded commodity"
9,000;domestication of pigs (Anatolia and China) ? meat, hide, bristles, medical research and capital from 1.0 billion pigs by CE 2015: peak production?
9,000;rise of Transeurasian languages, with the spread of millet farming from the Liao River Valley (north-eastern China) ? 80 languages now spoken from Istanbul to Tokyo
8,500;earliest mining of metal: heating, hammering and grinding copper into projectile points (Great Lakes, North America)
8,500;earliest cattle dairying (north-western Anatolia), for milk and its products of cheese and ghee: protein and fat obtained without killing the capital asset
8,500;beginning of a wave of migrations from the Middle East northwest through Anatolia, spreading farming practices into Europe
8,000;domestication of rice (Asia) ? 763 million tonnes per year by CE 2018, using 166 million ha of land, with potential to boost yield by more than a third through genetic modification
8,000;foraging for honey (Mesolithic painting in the Araña Caves, Spain) ? 90 million beehives by CE 2019
7,900;earliest grape wine and viniculture (South Caucasus) ? wine as a social lubricant, medicine and commodity throughout western civilisation
7,900;start of the Copper Age (Fertile Crescent), spread of copper smelting for weapons and tools
7,800;"cultivation of cotton Gossypium barbadense (north Peru); G. arboreum cultivated in Pakistan by 5500 BCE ? clothing, fishing nets, sheets, towels, rugs, wadding"
7,600;cultivation of poppies for opium (western Mediterranean), widespread by 4500 BCE, domestication by 3100 BCE ? psychoactive, medicinal and alimentary uses
7,500;flooding of the Black Sea from the Mediterranean Sea: perhaps the great flood of the Epic of Gilgamesh, and the biblical flood of Noah’s Ark
7,500;earliest salt production, by evaporation of brine (Provadia-Solnitsata, Bulgaria): preserving food, enhancing flavour ? high consumption in Western diet, with no evolutionary precedent
7,500;extraordinarily large influx of cosmic rays from an abnormal Sun, possibly caused by solar proton events ? potential for DNA damage on a global scale
7,200;earliest use of bitumen, for waterproofing reed-bundle boats (As-Sabiyah, Kuwait) ? 65 billion tons of asphalt in roads and pavements by CE 2020
7,200;earliest seaborne trading networks (Aegean for obsidian, Persian Gulf for Ubaid pottery), with mast and sail technology: the earliest harnessing of natural forces to replace human labour
7,100;"ritual landscape of large-scale mustatil monuments (northern Saudi Arabia): entranceways to courtyards, chambers, orthostats; associated cattle cult"
7,100;earliest burials by ritualistic mummification (Chinchorro, Atacama), some involving disassembly of the body
7,000;"rise of languages with subject-verb-object syntax – as in English – from the root syntax of subject-object-verb (proto-Indo-European), and expansion westward; other combinations arise later"
7,000;"cultivation of sugarcane (Indo-China); spreading to Africa and the Americas, slave labour providing sugar to Europe and North America from the CE 16?? century ? most productive biofuel"
7,000;"domestication of bananas from Musa acuminata and subsequent hybridisations (Papua New Guinea) ? 1 trillion bananas produced annually by 2020; rising trend, subject to disease risks"
7,000;domestication of tobacco (Andean Highlands, South America), spreading to North America by 1520 BCE ? smoking kills 100 million people worldwide in CE 20?? century, the worst preventable killer
7,000;domestication of donkeys (East Africa), spreading rapidly throughout Eurasia ? first land-based transport: pack animals for transporting materials and water, transforming society
6,800;earliest artistic representation of introspection: Thinker and Sitting Woman figurines (Hamangia culture, Cernavod?, Romania) ? capacity for soul-searching and contemplation
6,200;"domestication of maize (Mexico) ? 1.15 billion tonnes per year by CE 2019 using 197 million ha; with wheat and rice accounting for 43% of all human calorie supply, using 4% of global land area"
6,000;"domestication of chili pepper Capsicum (Tehuacán Valley, Mexico), spreading rapidly into South America; brought to Europe by Columbus CE 1492 ? now used daily by a quarter of the global population"
6,000;"earliest use of indigo blue, from Indigofera species, for dyeing cotton fabric (Huaca Prieta, Peru); use in Egypt by 2400 BCE, China by 1000 BCE"
6,000;earliest board games (Egypt), moving pieces on a track according to outcomes determined by a throw stick ? computers outperform humans in all board games by CE 2016
5,500;earliest engineering of water delivery and storage, for people, animals and irrigation (Jawa, Jordan) ? landscape engineering of dams, levees, ditches in China by 3100 BCE
5,500;"earliest ploughs for tilling soil (Italy): harnessing domestic animals for work; landscape engineering for crops"
5,500;rising human fertility, enabled by earlier weaning of babies fed with milk of domestic ruminants (southern Britain)
5,500;"domestication of horses (Central Asian steppes), revolutionising mobility, economy, warfare ? transport, haulage, cavalry, meat and capital; 59 million horses by CE 2019"
5,400;"earliest wheeled wagons (Germany, Slovenia, Near East) ? breakthrough in haulage and locomotion: mechanical advantage equalling ratio of wheel to axle radii, moderated by friction; nanoscale wheel and axle by CE 2007"
5,300;"start of the Bronze Age (Near East), bronze replacing copper for weapons, tools, nails, utensils; mixing of Eurasian peoples ? rapid westward spread of farming, conversion of forest to dairy pasture"
5,300;cultivation of cocoa trees for chocolate (upper Amazon) ? domestication in Mesoamerica by 1600 BCE, sacrificing productivity for stimulant and disease-resistance genes
5,300;earliest numeral systems: pictograms of economic units (Uruk, Mesopotamia) ? cuneiform sexagesimals in Mesopotamia by c. 3200 BCE, and hieroglyph decimals in Egypt by 3100 BCE
5,200;full writing (cuneiform in Mesopotamia, hieroglyphics in Egypt) using the rebus principle ? bookkeeping, instruction, commemoration, scripture, prayer, historical records
5,150;organic medicinal remedies from herbal wines (Egypt)
5,100;"earliest evidence of the plague (Latvia), possibly driving 3?? millenium BCE migrations across Europe and Asia; infectious diseases dominate Holocene causes of death, shaping the course of history"
5,100;association of love-making with war-mongering (Inanna, Sumerian goddess of love and war, Uruk): human capacity to unite passion with lust, loyalty with brutality, conquests with casualties
5,100;"development of governance systems with the rise of Uruk, city of 30,000 residents (Sumer civilisation, Mesopotamia), and cities of the Indus Valley ? class divisions; living off the labour of others"
5,050;earliest standard weights for balance scales, and cubit length (Mesopotamia and Egypt): objective frames of reference for valuing commodities ? integration of markets across Western Eurasia within 2 millennia
5,000;"emergence of herpes HSV-1 virus causing cold sores (Europe), passed from parent to child; later spread more rapidly by romantic kissing, originating on the Indian subcontinent c. 1500 BCE"
5,000;cultivation of oil palm (west and central Africa) ? 411 million tonnes of oil-palm fruit per year by CE 2019 using 28 million ha, largely converted tropical forest
5,000;global agricultural land use per person peaks at 2.72 ha ? 0.66 ha by CE 2016 with improvements in yield
5,000;"synthesis of glass (Phoenicia) for beads ? ingots, vessels by 1500 BCE; CE 1?? century mirrors and window glass; 7?? century stained-glass windows; 13?? century eyeglasses; late-20?? century float-glass skyscrapers"
5,000;earliest metal swords, for combat and prestige (Arslantepe, Turkey) ? essential battle weapons through nearly 5 millennia to CE 1918 and the end of World War I
5,000;earliest use of a Solar calendar year of 365 days, anchored by spring and autumn equinoxes (Egypt and old Sumer)
4,800;"global population of humans passes 50 million; annual energy use per person averages 2,100 kWh, 3× the resting metabolism"
4,750;in the North American White Mountains a seedling grows into a bristlecone pine tree, which sustains production of viable seeds over a lifespan extending beyond 4,700 years
4,650;earliest use of a lunar calendar year of 12 months, and each hour as one-twelfth part of the day or night (Shulgi, King of Ur, Mesopotamia)
4,650;magnetic compass, used to orient chariots (Emperor Hoang-Ti, China, recorded in the Zizhi Tongjian CE 1084, Thoung Kian Kang Mou edition) ? navigation at sea by CE 300, Tsin dynasty, China
4,650;earliest regulation of wildlife exploitation: every fisher and hunter taxed one-tenth of their take (pharaoh Djoser, Egypt, recorded in the Famine Stela)
