year;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bonaire, Saint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Cote dIvoire;Croatia;Cuba;Curacao;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;North Macedonia;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;South Sudan;Sudan;Reunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Sint Maarten (Dutch part);Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;USA;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe
1969;0.256886457;0.885;3.07395412;0;0.759577712;0;0.343;21.08320685;1.396898787;0.226638952;38.7892474;12.18297124;8.094101365;0.475099764;0.347;1.023287952;0.131;16.98056402;33.70408217;0.037;0.055;0.054;0;0.174475744;2.223454066;0;22.98437071;0.005;0.133;18.09708276;0.033;0.02;0.366934941;83.82074378;0.00998378;0.051;0.044;6.149418504;165.852447;7.646364173;0.005;0.137;0.003;0.312821575;0.516;2.406431097;4.706140315;3.269880701;0.455732362;36.76135166;17.48891018;0.99564315;16.19612087;0.023;0.005;0.72357075;0.979496652;5.367017132;0.324845906;0.012;0;6.161758368;0.454813054;0.058;0;0.117943705;10.3430211;120.9812519;0.023;0.044;0.391;0.013;2.502065146;287.1181309;0.460554903;6.941663465;0.111;0.013;0.085;0.621756693;0.204;0.016;0.373;0.085943228;0.320854016;2.115586378;17.01916953;0.344894567;48.46861894;9.105407888;6.168475276;5.047596929;22.66341283;4.039556735;73.59742606;1.164546216;178.2793179;0.479472835;40.64160798;0.853293582;0.003;0;7.317;3.599306928;0.087;4.072568229;1.18562126;0;0.346918898;9.694927008;0;6.313043587;3.597772913;0.046;1.624800587;0.231918898;0.10391811;2.493929449;0;0.044;0.178;0;0.09;0.075;0.156;0;27.88651452;0.731918898;0.219398836;0.002;1.587718583;0.88366748;0.876797244;0;0.018;0.109;31.60536661;0.425;3.891115984;0.350878346;0.051975669;3.302375512;0;6.05725063;0;0.064;5.516760685;0;0.559805354;0.152;0.141959449;4.171743215;6.230747795;0.694910916;80.06695079;3.982752901;1.955943228;0.156;11.59067157;6.632867441;0.095017894;1.045843075;0.061;30.43871107;373.128024;0.016;0;0.017;0.390004603;0.008;0.004;9.626351181;0.133772913;6.468187106;0.002;0.296;1.88;11.74379983;1.834468908;0.01;0.044;39.0673715;26.40200407;1.177691811;0;0.009;0.008;0.415;0.083;23.57563669;10.38399647;1.97397;7.175490081;2.081114433;3.968347953;0;0.066;0.003;1.064732362;1.051335592;10.57660974;5.14495196;0;0;0.320805354;118.2064949;5.597;171.501787;0.489813465;1101.295126;1.52548939;16.44796298;0.012;18.81364005;7.384180866;0;1.276;1.165635039;1.840578268
1970;0.455894335;1.021;4.10997811;0;0.976505781;0;0.126;22.5567689;1.468981038;0.253482916;40.25102855;13.81869552;8.510671982;0.701083543;0.707;1.03798993;0.117;17.86572055;34.24957913;0.033;0.077;0.062;0.001;0.195141302;2.905529472;0;25.55907268;0.005;2.239;16.69595323;0.039;0.017;0.319959449;93.11605197;0.00998378;0.057;0.034;6.723745019;220.511088;7.74291811;0.008;0.156;0.003;0.340797244;0.612;3.146745157;5.091180866;3.657177578;0.464708031;42.14511437;20.05357992;0.739537717;16.93212881;0.038;0.007;0.847456614;1.167635039;5.909937459;0.389821575;0.01;0;6.482194935;0.450797244;0.07;0;0.141935118;11.0139317;125.6322773;0.028;0.053;0.568;0.013;2.630266738;280.0279217;0.715513386;6.584655354;0.104;0.012;0.083;0.626756693;0.216;0.019;0.431;0.104935118;0.378829685;2.290529606;19.08694244;0.378902933;49.64480586;9.768391732;6.518499606;5.293051102;25.05116142;4.519474938;80.88552016;1.361513028;209.5969186;0.424586378;42.75881332;0.840124094;0.006;0;6.829;3.787751123;0.156;4.284409903;1.075525306;0;0.395902677;8.816894567;0;6.642930512;3.748732362;0.056;2.12327648;0.264918898;0.123927008;3.980864852;0;0.055;0.181;0;0.099;0.117;0.136;0;31.1000763;0.776894567;0.286708653;0.004;1.987450945;0.813562047;1.258813613;0;0.018;0.062;38.70177468;0.653;3.870083543;0.382862126;0.058967559;5.873351181;0.001;7.636120489;0;0.064;5.596180847;0;0.600732362;0.189;0.202902677;4.848750766;6.755299291;0.677870236;83.00856929;4.158428437;2.063716142;0.173967559;14.66057625;6.980829122;0.110257398;1.213615832;0.087;32.74603846;392.4319273;0.016;0;0.018;0.436198205;0.008;0.004;12.35025392;0.356732362;8.450423662;0.008;0.234;4.867;13.46756969;2.398668685;0.011;0.059;40.8346578;31.86858223;0.98064315;0;0.01;0.008;0.439;0.1;25.18750693;10.98371164;1.814936974;7.842256116;2.189438;4.190104646;0;0.075;0.007;2.453699799;1.020399254;11.62096843;5.407995674;0;0;0.393789134;124.3360151;4.158;178.1051843;0.481813465;1184.41212;1.565448504;17.26771416;0.011;20.33008046;7.689132205;0;0.685;1.027805354;2.225472835
1971;0.516799537;1.187;5.089937559;0;0.92941669;0;0.116;24.24867049;1.561567642;0.220611617;41.65668289;14.21099845;9.037079127;1.835083543;0.829;0.984124485;0.132;18.96323504;33.12513784;0.039;0.08;0.063;0.001;0.16983566;3.13131563;0;27.96942479;0.006;2.05;17.52771797;0.041;0.02;0.067983159;96.14830884;0.00999189;0.05;0.041;7.384069182;248.1467523;8.264578721;0.008;0.187;0.003;0.416764803;0.67;3.160106931;5.34624963;3.182920072;0.514064722;43.49001716;29.32669591;0.807497165;15.55937444;0.044;0.007;0.960343071;1.15159484;6.280677932;0.411797244;0.018;0;6.879684532;0.504764803;0.071;0;0.149910189;11.06352625;134.6288105;0.028;0.062;0.776;0.015;2.794386803;283.0886413;0.625416063;7.573556391;0.128;0.013;0.093;0.665748583;0.222;0.02;0.409;0.109918898;0.362666698;2.497432056;18.88744071;0.401802816;52.44117683;10.63189535;7.86895674;6.134328869;27.73685323;4.426568406;84.89333539;1.568563555;217.3974562;0.451537717;45.33919658;1.004124094;0.008;0;7.401;4.020926764;0.115;4.548707292;1.446680875;0;0.415902677;5.902918898;0;7.063301134;3.600985832;0.062;2.288372576;0.279919186;0.136927008;4.547651154;0.001;0.062;0.18;0;0.146;0.109;0.108;0;34.43963002;0.827631206;0.309001783;0.004;2.234246859;0.985537717;1.391781024;0;0.024;0.054;38.39141405;0.66;4.107260761;0.410870236;0.062967559;8.802269996;0.001;7.414307082;0;0.571;5.305869383;0;0.709691811;0.225;0.17288904;5.073886016;7.51956126;0.834862291;85.39323498;4.469348382;2.495716142;0.220845906;15.97536459;7.410101355;0.113172058;1.245670834;0.09;34.30170732;416.4503056;0.017;0;0.019;0.379632651;0.01;0.003;16.30913128;0.368732362;8.840433455;0.009;0.219;4.441981653;13.76783753;2.583347416;0.013;0.051;45.96208352;35.05964898;0.871578268;0;0.013;0.008;0.467943228;0.109;23.06464676;11.43231757;2.421994331;8.590245377;2.324714989;5.245933747;0;0.086;0.005;2.209716142;1.148359848;13.00168072;5.746753194;0;0;0.392397196;131.9343767;5.777;180.2369588;0.671805354;1191.447941;1.583497165;18.36383625;0.016;17.05791018;6.6876624;0;0.538;1.033481446;2.38338388
1972;0.417671095;1.539;7.72997811;0;1.22831119;0;0.102;24.58150658;1.644957766;0.213914579;42.94124001;15.3032667;9.512578645;1.768913228;1.004;0.956856259;0.137;19.95935574;35.65438679;0.043;0.106;0.069;0.001;0.164680011;2.934772702;0.006;31.15408965;0.006;2.58;18.03464025;0.044;0.02;0.0320273;103.9278617;0.01399189;0.046;0.033;7.6795573;264.3683395;8.576741084;0.008;0.181;0.003;0.480708031;0.74;2.909518556;5.670679653;3.08629715;0.656642242;43.89331773;24.42819307;0.823472835;16.26475393;0.052;0.007;1.274253858;1.252464724;6.952783283;0.457756693;0.024;0;7.240195396;0.383789134;0.064;0;0.157902677;12.03768647;140.2398412;0.028;0.059;0.747;0.018;2.942081913;284.2469893;0.660545827;8.590969058;0.151;0.013;0.103;0.738708031;0.227;0.018;0.426;0.106910787;0.418423063;2.531546006;18.92510381;0.404703053;55.46597205;11.81940005;8.056899709;6.014306104;28.93427753;4.609958283;89.58446384;1.714604442;232.5792074;0.522270079;47.67249087;1.055115984;0.007;0;7.536;4.231974608;0.133;4.788629382;1.542947093;0;0.410902677;4.153935118;0;7.445775717;3.682640905;0.063;2.144820312;0.350927008;0.14891835;4.885541694;0.001;0.067;0.229;0;0.214;0.122;0.188;0;36.10023448;0.894077383;0.289617743;0.004;2.190945899;0.899480945;1.335781024;0;0.021;0.073;42.98454351;0.465;4.418557673;0.437870236;0.068967559;11.29574302;0.001;8.022652662;0;0.57;5.159128976;0;0.763699921;0.346;0.194803703;4.953049312;7.207796457;0.973837795;89.93077972;4.996536857;2.940886457;0.234813465;16.44297543;7.79924446;0.122165864;1.344701401;0.095;36.09558201;438.1580089;0.018;0;0.021;0.36810826;0.01;0.003;19.18169162;0.396626929;8.230977432;0.012;0.185;5.928;13.89941252;2.417455508;0.015;0.064;46.82229859;39.49679607;0.965578268;0;0.019;0.01;0.475935118;0.104;23.11769251;11.71286434;2.116888373;9.790082955;2.447372675;5.951277402;0;0.11052126;0.006;2.247683701;1.291310096;14.66207401;6.05116243;0;0;0.376196214;138.8104009;6.396;176.8630763;0.590740472;1248.093717;1.656489055;19.32501071;0.017;17.06170744;6.286802327;0;0.408;1.108464724;2.24231063
1973;0.446357425;1.443;10.4468889;0;1.330148425;0;0.09;25.64844619;1.716810337;0.237298405;46.62370191;16.3797834;9.919333391;2.145945669;1.506;1.241728739;0.131;20.81106266;37.83819667;0.04;0.104;0.116;0.001;0.182681818;3.50564015;0.014;36.07228508;0.007;2.722;18.7547129;0.046;0.02;0.035108956;104.0592788;0.01698378;0.044;0.044;7.529163258;275.1890218;9.178699659;0.008;0.333;0.003;0.557699921;0.785;3.556610319;6.106806952;3.423672184;0.68327833;44.05140617;26.56259291;0.870407953;16.16322267;0.049;0.007;1.626359291;1.434464724;6.485009764;0.536732362;0.008;0;7.5478147;0.477862126;0.069;0;0.171902677;13.46074262;146.9785127;0.032;0.057;1.449;0.017;3.068800606;296.3259771;0.674521496;10.13406488;0.152;0.015;0.111;0.80065937;0.219;0.03;0.492;0.114878346;0.411064649;2.534513386;19.91258364;0.477627252;57.12097885;13.40013489;8.354996772;6.235359093;35.33714764;5.256869308;96.43808162;2.262650514;249.5265291;0.60031874;49.65230108;1.068123274;0.01;0;6.611;4.412626873;0.141;4.99406732;1.928693442;0;0.403902677;3.977910765;0;7.775883011;3.868819037;0.061;2.562177085;0.292919173;0.155903297;4.777600232;0.001;0.072951339;0.22;0;0.259;0.128;0.185;0;39.31725646;0.947624338;0.345973945;0.004;2.623524299;0.97132685;1.120789134;0;0.023;0.115;45.10367004;0.708943228;4.967341111;0.498789134;0.089918898;13.5186538;0.001;8.321983441;0;0.576;5.460829478;0;0.883521496;0.367;0.236746105;5.382872932;8.59752315;0.942813465;91.59114605;5.443523323;3.399886457;0.244789991;19.91665801;8.133357381;0.123248451;1.356582369;0.105;39.51011255;456.6619073;0.019;0;0.022;0.408347593;0.01;0.004;25.94256856;0.422675591;9.829077711;0.013;0.147;5.647;13.94730354;2.8885415;0.018;0.072;47.31381288;42.29184936;1.005538176;0;0.011;0.011;0.574935118;0.101;23.82356023;12.60990059;2.152067756;10.98358416;2.552402822;6.664912441;0;0.112346772;0.007;2.562724252;1.316424173;16.18722698;6.312648484;0;0;0.321081052;144.6609928;8.353;180.0155828;0.86865126;1305.963426;1.574431923;20.15241775;0.015;18.13123685;6.841674129;0;0.74498378;1.251546189;2.530253858
1974;0.522148563;1.185;8.69996189;0;1.328165274;0;0.117;26.05905499;1.784760387;0.21508656;46.99558712;15.63705327;10.30255833;2.014124094;1.474;1.269946568;0.134;21.61315145;36.83135848;0.042;0.111;0.121;0.001;0.16558225;3.520763637;0.024;39.05121735;0.007;2.232;19.41499167;0.056;0.025;0.020111372;106.3364943;0.018;0.031;0.041;7.062153596;280.5949419;9.932977413;0.008;0.443;0.003;0.519675591;0.885;3.557957628;6.246741396;3.103206161;0.526409672;44.52638352;27.73239827;0.91831063;15.02232268;0.053;0.008;1.749334961;1.660358905;7.12039855;0.537675591;0.014;0;7.837117383;0.473870236;0.082;0;0.182910787;12.72062523;142.0656273;0.028;0.059;1.487;0.017;3.188371378;290.0455586;0.800424173;9.842185452;0.152;0.01;0.105;0.83665937;0.229;0.028;0.424;0.128845906;0.423948183;2.911367402;20.19121947;0.474475728;58.96849222;13.98103265;8.435996772;6.357334798;39.2400122;5.286288328;97.7764557;2.072682859;249.5377201;0.607343071;51.50558983;1.349059213;0.009;0;5.270748535;4.582683631;0.08;5.187764454;1.934459857;0;0.469902677;2.548464724;0;8.088754193;3.93669338;0.073;2.573388671;0.323935118;0.149902677;5.197783625;0.001;0.082951339;0.203;0;0.284;0.132;0.189;0;42.22907299;1.02095283;0.347487859;0.004;3.02907451;0.858489055;1.274813465;0;0.027;0.115959449;43.66406758;0.758927008;5.120079531;0.531740472;0.078975669;16.98567;0.001;7.558547083;0;0.637;5.837171969;0;0.823562047;0.433;0.259563911;5.820183633;8.322139528;0.958772913;94.49688332;5.634532508;2.859862126;0.265764803;20.61968095;8.448652985;0.12907777;1.420673992;0.116;41.13545843;474.0504777;0.02;0;0.02;0.370125029;0.012;0.005;26.9382913;0.504635039;9.862211188;0.015;0.142;5.848;14.09037042;2.898794189;0.018;0.09;48.18564753;47.12491629;0.799481593;0;0.012;0.009;0.436951339;0.085;21.7857089;11.30651435;2.634937559;10.72826111;2.651410902;6.607677898;0;0.10656882;0.006;2.740732362;1.471407953;16.62899681;6.559520403;0;0;0.324702532;150.1527896;8.543;168.4453113;0.628675591;1261.202721;1.549399843;20.93211081;0.017;20.48514745;5.201424527;0;0.612935118;1.145513386;2.469164646
1975;0.578980048;1.253;8.733953899;0;1.203278189;0;0.193;25.885775;1.878082227;0.155761959;47.95766108;14.7963114;10.83367206;2.250578268;1.569;1.325524773;0.155;22.72253511;33.24864268;0.048;0.121;0.125;0.001;0.119911795;3.673477377;0.051;41.12582591;0.007;1.931;19.90234503;0.06;0.021;0.020153407;108.2933366;0.021;0.028;0.05;6.262189783;322.929846;9.773210961;0.009;0.3;0.004;0.555635039;1.088;3.698334912;7.379771244;2.247288115;0.543347711;46.6009413;29.37329528;0.88231063;15.21421997;0.054;0.008;1.728351556;2.007343071;8.477050315;0.574635039;0.017;0;8.24018246;0.329837795;0.095;0;0.169918418;12.56159263;131.5602642;0.032;0.058;1.464;0.027;3.353632933;273.5936098;0.748261969;10.55397493;0.138;0.013;0.11;0.960570157;0.23;0.031;0.498;0.131829685;0.453267624;3.004367191;20.53708412;0.440358059;63.98440275;14.71957884;9.039372283;6.017390232;37.99507953;5.333100974;93.08200293;2.232714899;237.0389609;0.679367402;54.1029811;1.356010551;0.009;0;4.588683701;4.81859601;0.069;5.455911492;1.709906981;0;0.404902677;3.15731874;0;8.516118899;3.237960017;0.081;2.685174775;0.461935118;0.157886457;5.307084739;0.002;0.092943228;0.182;0;0.246;0.139;0.161;0;44.79777252;1.106596903;0.362582476;0.003;3.020046375;0.786691811;1.250797406;0;0.028;0.09599189;41.62812005;0.689935118;4.986436392;0.525805354;0.09098378;12.9234915;0.001;8.354717877;0;1.979;6.32856126;0;0.998691811;0.418;0.22829873;5.984505712;8.865296063;1.106708295;102.2871414;5.806555989;2.987821575;0.316740472;22.28870041;8.884963783;0.096267034;1.059557456;0.132;44.21573234;498.2955647;0.048;0;0.021;0.268038131;0.016;0.005;22.72404084;0.703602598;10.28855182;0.016;0.143;6.513;14.75280304;3.022362833;0.016;0.137;50.49426006;49.41419795;0.789570157;0;0.009;0.009;0.550967559;0.092;22.04151688;10.658121;3.048905118;11.85921981;2.788198834;6.651613021;0;0.085;0.009;2.623716142;1.51231874;17.85462025;6.900081773;0;0;0.308022365;157.8254006;8.473;164.6416616;0.622707562;1222.223239;1.627294409;22.01147556;0.015;17.39913953;5.941973168;0;0.591935118;1.112505276;2.268261969
1976;0.540627347;1.35;10.67987731;0;0.895208053;0;0.11;27.21046809;1.950846892;0.332731207;47.51044234;15.88531435;11.25174843;1.762389739;1.793;1.516320311;0.145;23.58885132;35.39235762;0.048;0.071;0.128;0.001;0.256149811;3.79123969;0.162;42.18715566;0.007;1.643;19.91397716;0.057;0.024;0.020195443;108.8870803;0.02;0.035;0.05;6.557475981;334.7219642;10.36564871;0.011;0.337;0.004;0.568191816;1.081;3.814504754;7.422780003;4.800548815;0.678953153;48.43123997;30.03025726;0.929280897;16.40358639;0.054;0.008;1.725532923;2.210861379;9.402415367;0.602274284;0.017;0;8.557062374;0.320613685;0.09;0;0.131822437;13.9733802;142.8269504;0.075;0.072;1.556710263;0.027;3.482305723;297.7184713;0.662280897;11.64179742;0.06;0.013;0.135;0.901993893;0.242;0.026;0.478;0.183455713;0.483237777;3.408947562;21.79084003;0.464332142;66.86405347;16.86360457;13.30117022;6.084432964;42.70172043;5.321164154;99.83500616;1.985770199;247.5831182;0.803656135;56.13427119;1.254411687;0.009;0;5.037171425;5.000776928;0.061;5.666108358;1.616818552;0;0.402729579;4.882058777;0;8.849190323;3.237399117;0.069;2.771460018;0.270806127;0.158768211;6.522282342;0.003;0.09286479;0.208;0;0.232;0.141;0.169;0;50.147264;1.198149596;0.374233679;0.003;3.135832639;0.697439039;1.335368666;0;0.028;0.076921083;46.16015719;0.651861896;5.25341525;0.6064887;0.090903421;15.06265837;0.001;9.101498548;0;2.271;6.219575633;0;0.984373245;0.429;0.281103958;6.113636292;9.570478004;1.248588594;108.6568596;6.093279537;2.831576441;0.297208053;25.41063223;9.226154378;0.085274604;0.938413098;0.172;47.6179036;517.4870809;0.073;0;0.023;0.572570166;0.012;0.008;27.69093834;0.48299558;10.59565612;0.022;0.123;8.007;15.33853533;3.116917874;0.017;0.131;52.65189185;53.96996391;0.763855707;0;0.013;0.009;0.544903928;0.091;24.08320309;11.03639977;3.749220964;15.31035107;2.894963794;7.837387252;0;0.088;0.008;4.342472206;1.594273293;20.02166983;7.164936055;0;0;0.268936546;163.8965771;10.812503;163.3531637;0.76036258;1295.786685;1.606737344;22.85846767;0.012;15.63139892;3.793301576;0;0.699852727;1.09699558;2.962589949
1977;0.650702763;1.56;11.4205549;0;0.962748627;0;0.127;27.48522615;2.017971577;0.173788155;51.20332808;15.28212094;11.63578594;2.649751231;2.037;1.57880828;0.161;24.38647579;34.44304811;0.054;0.081;0.124;0.002;0.133789083;3.686541495;0.213;44.2844727;0.008;1.744;20.68664368;0.068;0.027;0.020237479;111.2965183;0.022;0.035;0.054;6.281057072;365.9473566;10.70987299;0.011;0.131;0.008;0.711631772;1.106;3.696533141;8.016976724;2.507364812;0.736729871;49.89370776;31.02215655;0.948955073;16.8716749;0.054;0.007;1.528089406;2.039356201;10.32070541;0.62273128;0.017;0;8.847873683;0.285694787;0.111;0;0.208686518;13.68367539;138.3265736;0.093;0.075;1.721206446;0.031;3.600435555;287.2840004;0.816463635;12.73394081;0.197;0.013;0.143;1.03833325;0.246;0.028;0.518;0.192179063;0.544048772;3.876611258;22.65433154;0.519285473;70.74631232;22.4935598;11.90762685;6.43251097;44.68666584;5.394627942;96.72970368;2.030819414;254.7046086;0.860789484;57.99075416;1.374238677;0.006;0;4.694708415;5.168200609;0.063;5.859665175;1.469844193;0;0.401572702;5.512622757;0;9.157963588;2.989614039;0.084;2.695177269;0.230786351;0.173603223;6.173809992;0.004;0.112847393;0.219;0;0.233;0.152;0.175;0;52.50934349;1.353904477;0.363933125;0.007;3.445562509;0.738657063;1.409840118;0;0.031;0.091811911;44.65219839;0.583780563;5.544053947;0.773228817;0.099847393;13.78401869;0.001;9.096753409;0;2.32;6.637520291;0;0.943079556;0.431;0.314692432;6.358069942;10.00986278;1.221303803;114.0706776;6.169480091;2.706339716;0.425504456;28.78266906;9.540831269;0.086440468;0.950986317;0.177;48.60172166;535.0887245;0.073;0;0.019;0.29905795;0.02;0.008;32.22447455;0.610626541;10.26565301;0.023;0.14;7.536;15.8107711;3.027540487;0.022;0.218;54.51612729;53.17387857;0.794497176;0;0.01;0.009;0.517883967;0.093;23.40076245;11.20034818;3.993546844;16.68285588;2.993289773;8.751336073;0;0.126;0.008;4.410278407;1.841889595;22.13993472;7.408194168;0;0;0.218877564;169.4579804;10.57622481;164.9458872;0.547931754;1334.499809;1.53920149;23.63200623;0.014;17.37174185;4.161242524;0;0.812770336;1.01935185;2.533955073
1978;0.587690976;1.771;17.04565133;0;1.473746751;0;0.134;27.99006421;2.088677019;0.148004556;55.08320645;15.61858193;12.03850047;1.800503292;2.118;1.633303115;0.172;25.22595407;36.96787017;0.059;0.099;0.116;0.003;0.113939836;4.119380709;0.227;48.0640557;0.008;2.602;22.16350652;0.095;0.028;0.014039931;113.408475;0.056916546;0.04;0.053;6.233155547;407.4175342;11.33576534;0.008;0.088;0.008;0.794771568;1.314;4.162389983;8.368232243;2.135366565;0.776479449;50.32587949;29.5340953;0.962329483;16.67478784;0.055;0.007;1.482075298;2.84018129;10.71534007;0.649937869;0.019;0;9.150341257;0.373499278;0.109;0;0.193527362;14.14438193;144.2756702;0.09;0.085;2.061916506;0.038;3.724554883;294.5230903;0.807159068;13.01258576;0.107;0.014;0.144;1.123671787;0.246;0.028;0.561;0.204869154;0.556616131;4.288781524;24.00768675;0.524247232;71.88818048;25.63813135;11.51557958;6.435491388;44.24234078;5.740083045;101.3301958;2.486862891;246.0671623;0.98999647;59.92699162;1.445620188;0.006;0;5.723684415;5.343158597;0.063;6.062143042;1.499967367;0;0.410248917;5.773848827;0;9.483889325;3.242585508;0.113;3.011849606;0.277624458;0.182412615;6.348374464;0.006;0.107791366;0.255;0;0.199;0.159;0.172;0;60.62124453;1.573092196;0.406693782;0.007;3.545762182;0.782164019;1.404496151;0;0.031;0.089787525;46.34089837;0.420656263;4.919220486;0.717101975;0.113749639;13.16127909;0.001;8.911121636;0;2.126;7.109867875;0;0.773636332;0.457;0.396753672;6.117002958;10.20203273;1.370126641;117.5955401;6.163967536;2.870907427;0.543997112;30.87317034;9.867826442;0.07811287;0.85884826;0.196;52.82189299;553.4644681;0.079;0;0.027;0.254689044;0.027;0.009;31.39317267;0.714955385;11.46903877;0.021;0.194;8.86;15.93877521;3.382817507;0.017;0.152;55.10117666;54.45247734;0.937648565;0;0.009;0.01;0.652800375;0.12;21.69118129;11.50935069;4.143393659;19.38388359;3.096753392;9.53793054;0;0.097;0.01;4.179002194;2.040924141;20.93719329;7.664237262;0;0;0.18972996;175.2584967;12.21440784;165.041896;0.599708617;1348.624908;1.563679361;24.44702997;0.016;18.72037185;4.199696124;0;0.846648938;0.947290644;2.532664219
1979;0.609376151;2.069;12.43055446;0;1.498141652;0;0.111;30.18999577;2.105893078;0.155259681;55.91569738;16.73616965;12.1392438;1.887459746;2.218;1.804762089;0.164;25.42709597;38.15134102;0.057;0.1;0.126;0.006;0.119525122;4.480361261;0.257;51.12838338;0.008;2.029;21.54145797;0.111;0.03;0.008;120.5449677;0.068;0.028;0.055;6.748044024;416.3922348;12.08157437;0.006;0.095;0.007;0.759001668;1.479;4.550530988;8.647528782;2.240041396;0.831179728;48.99408743;30.09361034;1.020771126;17.18838165;0.099;0.009;1.851961136;3.313445458;11.70565117;0.64866852;0.017;0;9.225413556;0.503311879;0.131;0;0.228290381;14.8026798;145.190408;0.149;0.077;1.841364812;0.04;3.754827188;305.1005341;0.723041502;13.86973385;0.156;0.013;0.147;1.276751807;0.258;0.03;0.415;0.204667408;0.52478447;4.322502022;23.46826029;0.541217418;75.47541674;25.96533914;14.4167818;7.47891309;44.48211865;5.694425971;105.1461592;2.327911924;260.1177246;1.030809011;60.38049386;1.367864311;0.007;0;4.811049331;5.383099242;0.061;6.112033817;1.578932026;0;0.529994285;7.075977663;0;9.564821945;3.319387615;0.113;3.275981375;0.308470676;0.173263181;7.452493688;0.008;0.116788271;0.247;0;0.194;0.165;0.18;0;65.57280363;1.71324678;0.442359822;0.007;4.325926121;0.719041502;1.388106938;0;0.031;0.139836242;51.03903993;0.447563311;4.501755779;0.466500278;0.130735338;19.15545503;0.001;9.459048478;0;2.106;7.678617472;0;0.868126598;0.49;0.361741094;6.063667087;10.37964525;1.290959903;120.4444943;6.783737685;3.914421813;0.495453531;36.2648044;9.946221832;0.081110805;0.89160764;0.25;53.40514531;558.0549452;0.081;0;0.041;0.267173801;0.023;0.009;37.66504835;0.788247517;12.48970584;0.033;0.185;9.66698132;15.51499132;3.678966771;0.03;0.133;59.68450634;55.33475667;1.039578527;0;0.01;0.008;0.625755461;0.122;23.16282178;10.88017568;6.136626267;20.67682318;3.121714819;9.985392403;0;0.377;0.011;4.559792074;2.388172003;20.47976123;7.726499508;0;0;0.183097864;176.7129678;9.97446925;175.9041383;0.56298857;1366.970464;1.709157232;24.64237252;0.017;20.86446304;4.434963675;0;0.878408331;0.981569371;2.574141652
